number,which_list
' 106239088',only_in_first
' 106291608',only_in_first
' 153540330 ',only_in_first
' 211165421',only_in_first
'103557227',only_in_first
'106890136',only_in_first
'111666600',only_in_first
'134682282',only_in_first
'138090040',only_in_first
'933972862',only_in_first
'934433608',only_in_first
'106291608',only_in_second
'153540330',only_in_second
